year	quarter	DD
2005	1	0.20574567
2005	2	0.14758663
2005	3	0.13055
2005	4	0.16204036
2006	1	0.07393918
2006	2	0.09383236
2006	3	0.14242579
2006	4	0.17028651
2007	1	0.16136443
2007	2	0.15891901
2007	3	0.15366847
2007	4	0.19193772
2008	1	0.19147673
2008	2	0.13010309
2008	3	0.1229441
2008	4	0.07879008
2009	1	0.16110272
2009	2	0.19074247
2009	3	0.1940498
2009	4	0.19788191
2010	1	0.19847414
2010	2	0.21526626
2010	3	0.26139464
2010	4	0.2363497
2011	1	0.30994329
2011	2	0.30921649
2011	3	0.24652912
2011	4	0.27803789
2012	1	0.3286027
2012	2	0.33751917
2012	3	0.31339341
2012	4	0.31841577
2013	1	0.28043349
2013	2	0.33556833
2013	3	0.26265564
2013	4	0.27012065
2014	1	0.24851066
2014	2	0.27267642
2014	3	0.20711128
2014	4	0.20459557
2015	1	0.20508596
2015	2	0.1887371
2015	3	0.1198067
2015	4	0.18074533
