year	quarter	DD
2005	1	0.2358416
2005	2	0.1259039
2005	3	0.1295027
2005	4	0.2101705
2006	1	0.1864377
2006	2	0.1530524
2006	3	0.202985
2006	4	0.2464317
2007	1	0.2092834
2007	2	0.2016145
2007	3	0.2223784
2007	4	0.2394212
2008	1	0.2073591
2008	2	0.1553709
2008	3	0.1503251
2008	4	0.1461718
2009	1	0.1783266
2009	2	0.2309966
2009	3	0.2162294
2009	4	0.2354761
2010	1	0.2911118
2010	2	0.2426533
2010	3	0.275683
2010	4	0.1882068
2011	1	0.2809567
2011	2	0.307273
2011	3	0.3061626
2011	4	0.2528643
2012	1	0.2630298
2012	2	0.2808013
2012	3	0.2283648
2012	4	0.2445577
2013	1	0.2701258
2013	2	0.2327194
2013	3	0.1816309
2013	4	0.1929662
2014	1	0.205326
2014	2	0.258912
2014	3	0.2989377
2014	4	0.3510917
2015	1	0.3045383
2015	2	0.2222544
2015	3	0.1477871
2015	4	0.2323665
