year	quarter	DD
2005	1	-0.064581506
2005	2	-0.103648517
2005	3	-0.025521079
2005	4	0.053816014
2006	1	-0.008944598
2006	2	0.082388526
2006	3	0.051744288
2006	4	0.163063011
2007	1	0.161935726
2007	2	0.168395866
2007	3	0.169012697
2007	4	0.224520319
2008	1	0.149440914
2008	2	0.128113898
2008	3	0.078215886
2008	4	0.00787551
2009	1	0.099444678
2009	2	0.175455488
2009	3	0.180009438
2009	4	0.197457573
2010	1	0.240352479
2010	2	0.160826358
2010	3	0.201062591
2010	4	0.250311054
2011	1	0.267687343
2011	2	0.281448684
2011	3	0.252776574
2011	4	0.165091824
2012	1	0.110639577
2012	2	0.097175589
2012	3	0.087210775
2012	4	0.077205886
2013	1	0.091888167
2013	2	0.142665133
2013	3	0.145757411
2013	4	0.162717399
2014	1	0.241409331
2014	2	0.211530761
2014	3	0.284027181
2014	4	0.23685386
2015	1	0.239895378
2015	2	0.192047116
2015	3	0.103830344
2015	4	0.157974377
