year	quarter	002017DebtCapc	002017OperCapc	002017DeveCapc	002017EarnCapc	600130DebtCapc	600130OperCapc	600130DeveCapc	600130EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2005	1	14.7183072	-2.7140283	1.13657778	0.017245861	7.092053	-11.453908	-1.05	-0.0261529	2.53	8.28	5.22 	14.31 	9.4	14.53	0
2005	2	7.1744226	0.5487726	-0.01595927	0.014816143	-139.77739	-6.895336	8.28	0.24974103	2.43	8.28	5.22 	14.87 	10.1	16.47	0
2005	3	3.3887055	4.5049164	6.43341338	0.031967413	770.52923	1.358268	-1.26	0.60493035	2.1	8.13	5.22 	17.19 	9.8	16.2	0
2005	4	7.4751946	7.5854523	7.75374732	0.034520585	-115.615866	2.231505	-1.04	0.98774114	1.83	8.07	5.22 	18.09 	9.9	16.4	0
2006	1	-13.9321737	-3.2768395	-2.51196191	0.099942008	-1899.390284	-13.209663	0.466	-0.02830713	1.5	8.05	5.22 	17.52 	10.2	16.83	0
2006	2	-19.6011427	-0.6830797	1.4445005	0.052465374	22.177058	-9.057321	0.172	-0.03328195	1.23	8.01	5.40 	17.38 	11.7	18	0
2006	3	-26.2420644	1.1244184	0.66093973	-0.01016165	41.731259	-6.344692	4.47	-0.01422326	1.23	7.96	5.52 	16.33 	10.6	16.17	0
2006	4	-19.5129809	4.1291314	-0.32754057	-0.03593268	40.599263	-1.45759	1.5	-0.03560312	1.37	7.86	5.58 	15.61 	10.4	14.77	0
2007	1	-15.0786431	-3.6032939	-4.52897178	0.087542541	51.9315	-14.067906	4.13	0.07862916	2.43	7.76	5.61 	16.95 	11.1	18.3	0
2007	2	220.3930645	-0.8553555	1.31250198	0.012124245	134.876698	-10.595611	-13.3	0.79570497	2.97	7.68	5.79 	16.97 	11.9	18.3	0
2007	3	-86.8880195	3.6014371	0.88294569	-0.25792277	-24.601287	-7.042833	-1.2	1.73235155	3.83	7.56	6.24 	18.34 	11.5	18.13	1
2007	4	68.9856211	5.3199019	0.3206224	-0.127542559	23.50772	-1.039415	-0.0403	2.09076555	4.6	7.43	6.51 	17.87 	11.2	17.53	1
2008	1	-0.7391987	-3.8814841	1.04697139	0.066485659	42.569179	-14.872618	-0.204	0.1814178	7.67	7.16	6.57 	17.47 	10.6	16.2	1
2008	2	-0.8388879	-0.8794399	0.72270787	-0.010835575	44.2471	-11.653826	0.673	0.13485102	8.07	6.96	6.57 	17.38 	10.1	15.9	1
2008	3	-1.3639836	1.8699255	0.65766539	-0.075238489	41.357792	-7.660672	3.69	0.25844901	7.33	6.84	6.45 	15.80 	9	12.97	1
2008	4	-3.330967	4.6551843	-0.43995625	-0.099367854	26.363391	-5.455159	-5.6	0.877699	6.3	6.84	5.31 	15.83 	6.8	6.43	1
2009	1	-2.2517799	-3.6407934	-3.48358906	0.067209127	60.389909	-11.855337	0.159	0.12106357	0.03	6.84	4.86 	21.52 	6.1	5.46	1
2009	2	14.1683293	-1.2461164	0.84970029	0.003728386	80.073176	-3.51426	-1.29	0.25189108	-0.93	6.83	4.86 	26.67 	7.9	8.97	0
2009	3	69.1351984	0.5869488	0.23970622	-0.026949845	87.198939	9.329962	0.184	0.26113548	-1.17	6.83	4.86 	28.71 	8.9	12.33	0
2009	4	-35.6125904	2.992778	-2.18008597	-0.041969158	39.483135	15.571514	31.8	-0.08957627	-0.9	6.83	4.86 	29.17 	10.7	17.93	0
2010	1	32.6051186	-3.9037038	-1.948897	0.064954275	26.07526	-7.217422	-0.0555	-0.02916084	1.93	6.83	4.86 	24.66 	11.9	20.03	0
2010	2	5.1325084	-2.0172743	0.84547633	-0.000342909	42.188353	2.921737	-0.94	-0.07930602	2.5	6.82	4.86 	20.28 	10.3	16	0
2010	3	-92.9593824	-0.5287261	0.05778908	-0.018788731	44.167547	11.32465	-4.9	-0.24179075	2.8	6.77	4.86 	18.60 	9.6	13.53	0
2010	4	-136.3489954	2.5627522	-0.80290166	-0.054274487	34.338826	20.096576	-0.704	-0.410501	3.17	6.65	5.18 	19.23 	9.8	13.3	0
2011	1	2.2181384	-3.4709445	-16.8952769	0.029786968	14.650551	-13.373543	-2.37	-0.19686312	4.93	6.58	5.52 	16.56 	9.7	14.33	0
2011	2	-0.1529626	-2.1286386	0.60516913	0.006605121	-9.825814	-8.723777	-0.72	-0.36961589	5.23	6.5	5.85 	15.44 	9.5	13.93	0
2011	3	-4.7695709	-0.7279462	-0.01334243	0.001493881	39.865716	-1.192342	-0.693	-0.50409727	5.6	6.42	6.10 	13.76 	9.1	13.77	0
2011	4	-5.4337519	2.3337699	4.08382655	-0.030233039	35.295835	6.88533	-0.782	-0.65090065	5.5	6.36	6.10 	16.76 	8.9	12.8	0
2012	1	3.8050346	-3.9824984	6.70970928	0.084197648	-0.19486	-9.433545	-1.15	-0.15057168	4.07	6.31	6.10 	17.53 	8.1	12	0
2012	2	-5.3366172	-1.9651752	-0.28844479	0.061503139	28.295932	1.184186	-1.89	-0.43793696	3.5	6.33	6.02 	17.95 	7.6	9.47	0
2012	3	-4.8724969	-0.5134689	1.32874585	0.043786187	22.210336	18.102463	-0.58	-0.6430016	2.93	6.35	5.60 	19.07 	7.4	9.1	0
2012	4	-4.8089594	2.598781	-4.49467296	-0.021156338	29.923652	40.127306	-0.456	-0.71880073	2.67	6.24	5.60 	14.49 	7.9	10	0
2013	1	14.0172468	-3.9705845	-0.20800598	0.088734824	19.597891	-5.265569	-0.748	-0.08819362	2.36	6.22	5.60 	15.58 	7.7	9.6	0
2013	2	-5.7161636	-2.0533858	11.4023805	0.083602319	28.943837	8.185462	-1.45	-0.23916713	2.4	6.15	5.60 	15.27 	7.5	9.13	0
2013	3	-6.0180636	-0.2253404	-0.0195982	0.074629866	32.671741	18.544807	-0.778	-0.35374016	2.48	6.13	5.60 	14.46 	7.8	10.1	0
2013	4	-4.9173184	3.0917553	-10.14504262	-0.029335686	25.847411	31.405559	-2.49	-0.6560058	2.62	6.09	5.60 	14.03 	7.7	10	0
2014	1	-10.7072197	-3.9472451	-0.20355953	0.087270524	75.999918	-9.345282	-0.308	-0.12204764	2.33	6.1	5.60 	12.87 	7.4	8.7	0
2014	2	-17.9791942	-1.9605297	-5.22171729	0.043657885	-2.696101	-3.60199	-1.03	-0.26947774	2.22	6.23	5.60 	13.79 	7.5	8.9	0
2014	3	0.6031715	0.0105931	0.34476595	-0.003119632	20.720596	6.309655	-0.747	-0.40368323	2.21	6.17	5.60 	12.63 	7.3	7.97	0
2014	4	-1.5914222	3.8799271	0.16116225	-0.124011634	29.463566	10.832707	-2.53	-0.70629123	2.04	6.15	5.60 	11.68 	7.3	7.6	0
2015	1	61.4711598	-3.8170154	0.94403583	0.079503583	42.958213	-12.863745	0.00077	-0.07068771	1.02	6.24	5.52 	10.52 	7	6.27	0
2015	2	4.0184737	-1.854627	2.85120204	-0.005804488	40.164077	-5.440692	-1.4	-0.18533039	1.27	6.2	5.10 	10.13 	7	6.27	0
2015	3	-0.6762584	0.4500751	0.67539902	-0.079771102	39.46092	-1.781801	-0.839	-0.29541476	1.39	6.3	4.68 	13.25 	6.9	5.93	0
2015	4	-1.6288864	6.0010144	0.25786243	-0.185014933	5.134023	10.004169	-2.93	-0.57664016	1.43	6.4	4.35 	13.50 	6.8	5.9	0
