year	quarter	600130DebtCapc	600130OperCapc	600130DeveCapc	600130EarnCapc	600680DebtCapc	600680OperCapc	600680DeveCapc	600680EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2005	1	7.092053	-11.453908	-1.05	-0.0261529	-1.5612704	-59.73703	-6.0472451	-0.14429898	2.53	8.28	5.22 	14.31 	9.4	14.53	0
2005	2	-139.77739	-6.895336	8.28	0.24974103	-1.3262103	-58.43252	-3.2592058	-0.16506775	2.43	8.28	5.22 	14.87 	10.1	16.47	0
2005	3	770.52923	1.358268	-1.26	0.60493035	-0.4920644	-57.05097	-8.4957962	-0.08907171	2.1	8.13	5.22 	17.19 	9.8	16.2	0
2005	4	-115.615866	2.231505	-1.04	0.98774114	-0.3832729	-55.64622	-3.7277998	-0.07445853	1.83	8.07	5.22 	18.09 	9.9	16.4	0
2006	1	-1899.390284	-13.209663	0.466	-0.02830713	-0.5818864	-59.82146	-3.9621419	-0.10512252	1.5	8.05	5.22 	17.52 	10.2	16.83	0
2006	2	22.177058	-9.057321	0.172	-0.03328195	-0.819765	-58.70548	-17.913932	-0.12364925	1.23	8.01	5.40 	17.38 	11.7	18	0
2006	3	41.731259	-6.344692	4.47	-0.01422326	-0.619328	-57.43255	-5.4254242	-0.10646934	1.23	7.96	5.52 	16.33 	10.6	16.17	0
2006	4	40.599263	-1.45759	1.5	-0.03560312	-5.3544796	-58.37458	-55.6713712	-0.95368326	1.37	7.86	5.58 	15.61 	10.4	14.77	0
2007	1	51.9315	-14.067906	4.13	0.07862916	1.9340739	-60.90661	-4.1606754	0.02762537	2.43	7.76	5.61 	16.95 	11.1	18.3	0
2007	2	134.876698	-10.595611	-13.3	0.79570497	-0.9331501	-60.35415	-5.7532924	-0.15311246	2.97	7.68	5.79 	16.97 	11.9	18.3	0
2007	3	-24.601287	-7.042833	-1.2	1.73235155	-0.8967383	-59.87334	-3.9534722	-0.17141505	3.83	7.56	6.24 	18.34 	11.5	18.13	1
2007	4	23.50772	-1.039415	-0.0403	2.09076555	-1.1089912	-59.64041	-23.580573	-0.19700391	4.6	7.43	6.51 	17.87 	11.2	17.53	1
2008	1	42.569179	-14.872618	-0.204	0.1814178	-1.1492703	-60.16322	-3.6244054	-0.14262853	7.67	7.16	6.57 	17.47 	10.6	16.2	1
2008	2	44.2471	-11.653826	0.673	0.13485102	-1.8069702	-58.89699	-0.3691585	-0.24358641	8.07	6.96	6.57 	17.38 	10.1	15.9	1
2008	3	41.357792	-7.660672	3.69	0.25844901	-0.7465927	-60.05609	-5.1288175	-0.16011766	7.33	6.84	6.45 	15.80 	9	12.97	1
2008	4	26.363391	-5.455159	-5.6	0.877699	5.1449084	-59.38376	15.2325089	1.08632796	6.3	6.84	5.31 	15.83 	6.8	6.43	1
2009	1	60.389909	-11.855337	0.159	0.12106357	1.7017431	-60.88738	-3.9501639	0.02992468	0.03	6.84	4.86 	21.52 	6.1	5.46	1
2009	2	80.073176	-3.51426	-1.29	0.25189108	1.303313	-60.61801	-3.4681889	0.0883417	-0.93	6.83	4.86 	26.67 	7.9	8.97	0
2009	3	87.198939	9.329962	0.184	0.26113548	1.4148752	-60.26982	-2.6436298	0.16190438	-1.17	6.83	4.86 	28.71 	8.9	12.33	0
2009	4	39.483135	15.571514	31.8	-0.08957627	-1.5287257	-59.75958	-9.5983649	-0.24410555	-0.9	6.83	4.86 	29.17 	10.7	17.93	0
2010	1	26.07526	-7.217422	-0.0555	-0.02916084	2.7355662	-60.78536	-5.4696025	0.09070869	1.93	6.83	4.86 	24.66 	11.9	20.03	0
2010	2	42.188353	2.921737	-0.94	-0.07930602	1.9583524	-60.31728	-3.0711037	0.23953406	2.5	6.82	4.86 	20.28 	10.3	16	0
2010	3	44.167547	11.32465	-4.9	-0.24179075	3.4935253	-60.0695	-1.1463234	0.6009777	2.8	6.77	4.86 	18.60 	9.6	13.53	0
2010	4	34.338826	20.096576	-0.704	-0.410501	6.4491888	-59.67612	-0.8473453	1.36569089	3.17	6.65	5.18 	19.23 	9.8	13.3	0
2011	1	14.650551	-13.373543	-2.37	-0.19686312	1.1731447	-60.56623	-3.8524493	0.03081962	4.93	6.58	5.52 	16.56 	9.7	14.33	0
2011	2	-9.825814	-8.723777	-0.72	-0.36961589	-1.1356995	-59.88023	-5.7853314	-0.16681177	5.23	6.5	5.85 	15.44 	9.5	13.93	0
2011	3	39.865716	-1.192342	-0.693	-0.50409727	-1.0210349	-59.32621	-4.0164571	-0.18595598	5.6	6.42	6.10 	13.76 	9.1	13.77	0
2011	4	35.295835	6.88533	-0.782	-0.65090065	-1.1994634	-58.91428	6.0984944	-0.32141112	5.5	6.36	6.10 	16.76 	8.9	12.8	0
2012	1	-0.19486	-9.433545	-1.15	-0.15057168	0.9411299	-60.5778	-4.7948614	0.0205687	4.07	6.31	6.10 	17.53 	8.1	12	0
2012	2	28.295932	1.184186	-1.89	-0.43793696	-1.1985649	-59.7467	-5.8859725	-0.17433776	3.5	6.33	6.02 	17.95 	7.6	9.47	0
2012	3	22.210336	18.102463	-0.58	-0.6430016	-0.8834153	-59.15582	-4.1437922	-0.16962783	2.93	6.35	5.60 	19.07 	7.4	9.1	0
