Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,8739.49,8803.75,8726.25,8737.66,169400,8737.66,
2011-09-08,8863.24,8876.49,8757.58,8793.12,105000,8793.12,
2011-09-07,8723.05,8773.26,8702.78,8763.41,130000,8763.41,
2011-09-06,8687.11,8709.92,8588.34,8590.57,152800,8590.57,
2011-09-05,8828.46,8842.56,8757.18,8784.46,112000,8784.46,
2011-09-02,8980.56,9014.27,8914.65,8950.74,127000,8950.74,
2011-09-01,9017.01,9098.15,8998.01,9060.8,126200,9060.8,
2011-08-31,8938.31,8967.8,8905.52,8955.2,136200,8955.2,
2011-08-30,8958.5,8992.86,8935.85,8953.9,135600,8953.9,
2011-08-29,8802.25,8926.27,8751.29,8851.35,143600,8851.35,
2011-08-26,8746.77,8805.1,8742.46,8797.78,140800,8797.78,
2011-08-25,8748.01,8849.94,8741.74,8772.36,160800,8772.36,
2011-08-24,8812.16,8825.27,8620.89,8639.61,167200,8639.61,
2011-08-23,8703.31,8747.41,8630.49,8733.01,158600,8733.01,
2011-08-22,8686.91,8756.1,8619.21,8628.13,146200,8628.13,
2011-08-19,8771.7,8796.42,8707.47,8719.24,152200,8719.24,
2011-08-18,9043.18,9043.18,8931.25,8943.76,119400,8943.76,
2011-08-17,9047.89,9081.8,9003.7,9057.26,115000,9057.26,
2011-08-16,9135.06,9150.31,9072.53,9107.43,117600,9107.43,
2011-08-15,9082.53,9117.11,9032.84,9086.41,107800,9086.41,
2011-08-12,9064.17,9070.27,8926.89,8963.72,150600,8963.72,
2011-08-11,8876.54,8983.33,8832.42,8981.94,162800,8981.94,
2011-08-10,9110.81,9144.33,9021.36,9038.74,173600,9038.74,
2011-08-09,8911.8,8949.97,8656.79,8944.48,252400,8944.48,
2011-08-08,9169.67,9215.09,9057.29,9097.56,147000,9097.56,
2011-08-05,9469.16,9469.16,9264.09,9299.88,189000,9299.88,
2011-08-04,9685.5,9768.4,9615.35,9659.18,154800,9659.18,
2011-08-03,9705.02,9705.02,9610.38,9637.14,131200,9637.14,
2011-08-02,9872.17,9873.46,9822.3,9844.59,120600,9844.59,
2011-08-01,9907.04,10040.13,9906.17,9965.01,145000,9965.01,
2011-07-29,9866.82,9914.22,9824.34,9833.03,146400,9833.03,
2011-07-28,9936.97,9945.98,9853.85,9901.35,131400,9901.35,
2011-07-27,10048.34,10053.5,10009.37,10047.19,123800,10047.19,
2011-07-26,10078.48,10130.25,10043.99,10097.72,111200,10097.72,
2011-07-25,10080.82,10091.02,10039.1,10050.01,104200,10050.01,
2011-07-22,10096.89,10149.18,10076.53,10132.11,134200,10132.11,
2011-07-21,10019.94,10026.18,9974,10010.39,125400,10010.39,
2011-07-20,10008,10042.75,9986.33,10005.9,104400,10005.9,
2011-07-19,9921.5,9945.72,9889.72,9889.72,108800,9889.72,
2011-07-15,9919.59,9985.32,9919.1,9974.47,101400,9974.47,
2011-07-14,9929.18,9998.49,9884,9936.12,126800,9936.12,
2011-07-13,9891.11,9979.67,9887.33,9963.14,119000,9963.14,
2011-07-12,9943.32,9971.14,9907.81,9925.92,135000,9925.92,
2011-07-11,10069.01,10109.3,10057.77,10069.53,104800,10069.53,
2011-07-08,10205.71,10207.91,10126.47,10137.73,127200,10137.73,
2011-07-07,10047.15,10102.19,10029.33,10071.14,133200,10071.14,
2011-07-06,9987.25,10082.48,9967.87,10082.48,137800,10082.48,
2011-07-05,9959.39,9995.17,9948.38,9972.46,132600,9972.46,
2011-07-04,9980.16,10005.75,9940.47,9965.09,131400,9965.09,
2011-07-01,9878.69,9900.57,9849.64,9868.07,111600,9868.07,
2011-06-30,9838.09,9849.69,9785.89,9816.09,136200,9816.09,
2011-06-29,9767.91,9797.26,9734.66,9797.26,123400,9797.26,
2011-06-28,9668.01,9703.41,9632.54,9648.98,117400,9648.98,
2011-06-27,9633.92,9638.49,9570.58,9578.31,119400,9578.31,
2011-06-24,9626.43,9695.09,9609.24,9678.71,130800,9678.71,
2011-06-23,9557.72,9652.41,9553.3,9596.74,127600,9596.74,
2011-06-22,9525.25,9658.62,9525.25,9629.43,137800,9629.43,
2011-06-21,9420.43,9459.66,9378.36,9459.66,116000,9459.66,
2011-06-20,9383.24,9421.38,9346.76,9354.32,121800,9354.32,
2011-06-17,9443.32,9447.44,9318.62,9351.4,139600,9351.4,
2011-06-16,9478.63,9497.59,9411.28,9411.28,125600,9411.28,
2011-06-15,9589.54,9599.9,9520.93,9574.32,142800,9574.32,
2011-06-14,9446.84,9565.65,9438.41,9547.79,141200,9547.79,
2011-06-13,9405.16,9466.51,9391.26,9448.21,96400,9448.21,
2011-06-10,9536.84,9613.75,9493.05,9514.44,188800,9514.44,
2011-06-09,9411.71,9472.41,9383.12,9467.15,143000,9467.15,
2011-06-08,9428.62,9458.43,9394.74,9449.46,117200,9449.46,
2011-06-07,9371.21,9454.66,9358.31,9442.95,128400,9442.95,
2011-06-06,9467.37,9490.55,9359.78,9380.35,140400,9380.35,
2011-06-03,9550.59,9603.03,9490.68,9492.21,115600,9492.21,
2011-06-02,9560.63,9575.01,9517.28,9555.04,144000,9555.04,
2011-06-01,9708.05,9720.73,9659.31,9719.61,136000,9719.61,
2011-05-31,9500.6,9697.35,9497.4,9693.73,156600,9693.73,
2011-05-30,9489.78,9540.02,9448,9504.97,93600,9504.97,
2011-05-27,9514.16,9588.7,9493.44,9521.94,109000,9521.94,
2011-05-26,9499.45,9567.46,9489.12,9562.05,117400,9562.05,
2011-05-25,9492.43,9503.77,9415.33,9422.88,116600,9422.88,
2011-05-24,9406.04,9490.35,9406.04,9477.17,115800,9477.17,
2011-05-23,9547.86,9547.86,9437.87,9460.63,131600,9460.63,
2011-05-20,9612.87,9670.92,9600.48,9607.08,120800,9607.08,
2011-05-19,9711.32,9731.12,9600.81,9620.82,117200,9620.82,
2011-05-18,9602.88,9693.6,9590.4,9662.08,132800,9662.08,
2011-05-17,9513.5,9593.13,9502.39,9567.02,136000,9567.02,
2011-05-16,9571.13,9598.33,9552.86,9558.3,126200,9558.3,
2011-05-13,9751.45,9751.45,9552.93,9648.77,212600,9648.77,
2011-05-12,9770.71,9836.71,9716.65,9716.65,145000,9716.65,
2011-05-11,9912.48,9929.04,9842.67,9864.26,141600,9864.26,
2011-05-10,9804.27,9853.13,9755.93,9818.76,132000,9818.76,
2011-05-09,9881.67,9897.88,9776.74,9794.38,110800,9794.38,
2011-05-06,9851.15,9876.1,9782.66,9859.2,132400,9859.2,
2011-05-02,9964.39,10017.47,9936.27,10004.2,127800,10004.2,
2011-04-28,9749.36,9849.74,9712.58,9849.74,158000,9849.74,
2011-04-27,9631.53,9728.03,9630.37,9691.84,115800,9691.84,
2011-04-26,9627.43,9627.43,9536.51,9558.69,100200,9558.69,
2011-04-25,9705.9,9748.4,9657.24,9671.96,100600,9671.96,
2011-04-22,9623,9732.63,9611.38,9682.21,126200,9682.21,
2011-04-21,9686.27,9725.12,9643.92,9685.77,118000,9685.77,
2011-04-20,9536.79,9631,9519.36,9606.82,126000,9606.82,
2011-04-19,9448.65,9478.87,9405.19,9441.03,131600,9441.03,
2011-04-18,9593.41,9608.92,9539.03,9556.65,110000,9556.65,
2011-04-15,9646.22,9651.96,9577.96,9591.52,147800,9591.52,
2011-04-14,9579.79,9676.97,9553.75,9653.92,153000,9653.92,
2011-04-13,9516.5,9655.83,9516.5,9641.18,157400,9641.18,
2011-04-12,9603.5,9603.64,9513.27,9555.26,169000,9555.26,
