year	quarter	600850DebtCapc	600850OperCapc	600850DeveCapc	600850EarnCapc	600990DebtCapc	600990OperCapc	600990DeveCapc	600990EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	26.8122614	-46.1821295	-1.23585468	-1.71766618	4.254941	-3.615463	2.122765	0.24467631	2.53	8.28	5.22	14.30920461
2005	2	30.7367054	-33.0575504	-1.90619754	-1.33545896	85.252022	-1.8559151	-0.9793056	-0.02569284	2.43	8.28	5.22	14.8707352
2005	3	31.1051666	-20.2843314	1.07073103	-1.18238129	-5.012525	-0.6430134	3.3610025	-0.1501595	2.1	8.13	5.22	17.19476822
2005	4	31.7674578	-3.7203932	3.96586562	-0.82513691	-916.44266	1.3547809	4.8670858	-0.33179208	1.83	8.07	5.22	18.09123087
2006	1	29.2230249	-47.0564908	0.4367836	-1.53885682	18.309291	-2.944292	2.9666162	0.15244093	1.5	8.05	5.22	17.51718278
2006	2	29.7015775	-32.2619516	-2.71491245	-1.5039739	27.81809	-0.7042963	13.3194353	-0.06429393	1.23	8.01	5.4	17.38256767
2006	3	31.2405732	-15.5621033	11.80346057	-1.14699277	25.921717	1.863126	2.9863136	-0.10670271	1.23	7.96	5.52	16.32614112
2006	4	32.5524873	2.299129	2.1357809	-0.72122118	27.228134	2.9535054	13.1686887	-0.24178566	1.37	7.86	5.58	15.60622221
2007	1	28.5997271	-41.1588125	0.16383862	-1.64429279	18.121891	-3.9026944	2.9056934	0.15742772	2.43	7.76	5.61	16.94836817
2007	2	30.2543615	-22.8452449	-2.01070905	-1.39177233	22.047748	-2.3186381	19.1272229	0.06655224	2.97	7.68	5.79	16.96535471
2007	3	31.1128485	-5.5823603	2.24508562	-1.09319656	23.521022	-0.7531212	3.8124268	-0.04704167	3.83	7.56	6.24	18.34050682
2007	4	32.246367	13.5659336	3.30298407	-0.43389389	25.068629	0.8443714	4.3959125	-0.23150185	4.6	7.43	6.51	17.87054535
2008	1	34.880414	-41.6358438	0.68891838	-1.4446846	18.456278	-3.6302701	2.6966193	0.16747883	7.67	7.16	6.57	17.47019444
2008	2	34.0042831	-26.0610498	5.60828826	-1.21355081	22.321456	-1.7633199	-1.5118899	0.03815661	8.07	6.96	6.57	17.38303282
2008	3	41.3938868	-3.5652505	6.35951037	0.16564258	21.82039	-0.200238	3.6885618	-0.06572515	7.33	6.84	6.45	15.79803171
2008	4	34.9188549	14.5086652	-0.33290193	-0.47391423	25.609471	0.6940923	5.3809191	-0.08597707	6.3	6.84	5.31	15.83323959
2009	1	19.1171425	-46.1983492	1.68198511	-2.18609961	17.661154	-3.675809	2.9301714	0.16632865	0.03	6.84	4.86	21.51701359
2009	2	19.4160562	-29.9561264	0.71440207	-2.16180408	20.071152	-2.5086673	5.7087859	0.14155765	-0.93	6.83	4.86	26.66699371
2009	3	24.3236663	-17.8504442	-30.98613538	-2.06530517	24.420993	-1.6783022	3.2846768	0.09046243	-1.17	6.83	4.86	28.71429551
2009	4	45.922597	6.8391828	17.9830091	-0.72218482	36.670362	1.9717819	48.414004	-0.08946179	-0.9	6.83	4.86	29.1668298
2010	1	33.2846342	-39.0256335	0.03282519	-1.88731632	17.944548	-3.2755938	2.9503615	0.14929874	1.93	6.83	4.86	24.66034388
2010	2	30.5404666	-17.224179	-0.11929422	-1.66573602	20.306932	-1.8522264	6.6546084	0.07975175	2.5	6.82	4.86	20.27998732
2010	3	29.4529916	0.6331522	1.94950178	-1.39370838	19.204233	-0.8917336	2.6802161	0.08656655	2.8	6.77	4.86	18.60427965
2010	4	26.1926582	18.1135504	10.25173575	0.06624608	23.9584	2.8836605	-16.9045025	-0.14571172	3.17	6.65	5.183333	19.22971745
2011	1	27.4611031	-40.184518	0.69020283	-1.37559202	16.076987	-3.5657958	2.8251894	0.18046146	4.93	6.58	5.516667	16.55746923
2011	2	24.2172557	-18.7503749	2.32245154	-1.1737746	19.336624	-1.8448188	-1.5568433	0.11166391	5.23	6.5	5.85	15.43661454
2011	3	22.8767243	2.4119649	-0.30807145	-1.22234094	17.90733	-0.1721457	2.5189325	0.1181765	5.6	6.42	6.1	13.7584146
2011	4	15.9486465	32.8662781	-24.8363489	0.35015973	23.391656	5.0808003	-14.8116171	-0.17217138	5.5	6.36	6.1	16.75804914
2012	1	38.2167578	-28.5746028	-0.55188879	-1.98712051	16.617933	-3.5391034	2.796707	0.1762388	4.07	6.31	6.1	17.52529737
