year	quarter	DD
2005	1	0.2552264
2005	2	0.2462074
2005	3	0.2389242
2005	4	0.1509922
2006	1	0.2867745
2006	2	0.2035955
2006	3	0.2824068
2006	4	0.297407
2007	1	0.2371372
2007	2	0.2114957
2007	3	0.2223763
2007	4	0.2743578
2008	1	0.2200467
2008	2	0.1508737
2008	3	0.1982289
2008	4	0.1894508
2009	1	0.2121039
2009	2	0.2386908
2009	3	0.2287984
2009	4	0.2156512
2010	1	0.2525704
2010	2	0.2754271
2010	3	0.2951432
2010	4	0.2391421
2011	1	0.2620836
2011	2	0.2590554
2011	3	0.2815896
2011	4	0.2308699
2012	1	0.2432451
2012	2	0.2985625
2012	3	0.2652149
2012	4	0.2656593
2013	1	0.2778555
2013	2	0.2601012
2013	3	0.2253286
2013	4	0.2250693
2014	1	0.2657721
2014	2	0.1837832
2014	3	0.3068208
2014	4	0.3061171
2015	1	0.2798755
2015	2	0.1991738
2015	3	0.1346255
2015	4	0.225735
