year	quarter	DD
2005	1	0.061256422
2005	2	-0.06661454
2005	3	-0.194530869
2005	4	-0.270395961
2006	1	-0.190164324
2006	2	-0.054978186
2006	3	-0.000991414
2006	4	0.063875306
2007	1	0.123533431
2007	2	0.157681107
2007	3	0.143322776
2007	4	0.199509374
2008	1	0.184905167
2008	2	0.155845748
2008	3	0.182104748
2008	4	0.155456669
2009	1	0.211310402
2009	2	0.214236059
2009	3	0.274371395
2009	4	0.310325292
2010	1	0.376245654
2010	2	0.30587424
2010	3	0.358978792
2010	4	0.361596547
2011	1	0.419555299
2011	2	0.327574875
2011	3	0.393847622
2011	4	0.330079461
2012	1	0.341797607
2012	2	0.335176912
2012	3	0.267449231
2012	4	0.29319104
2013	1	0.366836629
2013	2	0.374234497
2013	3	0.349084887
2013	4	0.245530717
2014	1	0.227321949
2014	2	0.329774662
2014	3	0.346713304
2014	4	0.334937667
2015	1	0.322676471
2015	2	0.208385
2015	3	0.139370947
2015	4	0.2264443
