year	quarter	DD
2005	1	0.039237331
2005	2	-0.007981754
2005	3	-0.004640402
2005	4	0.065160539
2006	1	0.090702611
2006	2	0.093416329
2006	3	0.011734833
2006	4	0.129631282
2007	1	0.146273902
2007	2	0.17487021
2007	3	0.170089105
2007	4	0.192921834
2008	1	0.191893268
2008	2	0.140911139
2008	3	0.104095226
2008	4	0.088626992
2009	1	0.158775361
2009	2	0.22419683
2009	3	0.201653923
2009	4	0.23516665
2010	1	0.216209747
2010	2	0.208808962
2010	3	0.202265257
2010	4	0.256411811
2011	1	0.282759694
2011	2	0.266964606
2011	3	0.284212539
2011	4	0.191154312
2012	1	0.204273736
2012	2	0.33981388
2012	3	0.291427385
2012	4	0.248526954
2013	1	0.201198972
2013	2	0.225357668
2013	3	0.188973116
2013	4	0.157100707
2014	1	0.139972255
2014	2	0.161474923
2014	3	0.231517725
2014	4	0.259455328
2015	1	0.186463432
2015	2	0.163344498
2015	3	0.089300283
2015	4	0.150264799
