year	quarter	DD
2005	1	0.17705974
2005	2	0.07705424
2005	3	0.02746256
2005	4	0.04198867
2006	1	0.10965208
2006	2	0.0965492
2006	3	0.14043541
2006	4	0.14694638
2007	1	0.13361432
2007	2	0.13223438
2007	3	0.16197555
2007	4	0.19320753
2008	1	0.18299676
2008	2	0.14065509
2008	3	0.12431185
2008	4	0.08675324
2009	1	0.14204731
2009	2	0.19218202
2009	3	0.18206246
2009	4	0.21970489
2010	1	0.30018868
2010	2	0.23228474
2010	3	0.29549587
2010	4	0.19885812
2011	1	0.22563101
2011	2	0.28672013
2011	3	0.27306881
2011	4	0.26185325
2012	1	0.19398489
2012	2	0.21538892
2012	3	0.17867418
2012	4	0.20848021
2013	1	0.31297962
2013	2	0.19926575
2013	3	0.18738246
2013	4	0.32830113
2014	1	0.21854208
2014	2	0.33880735
2014	3	0.26865086
2014	4	-0.95625622
2015	1	0.15094413
2015	2	0.20654342
2015	3	0.10568432
2015	4	0.15237047
