year	quarter	DD
2005	1	0.271562269
2005	2	0.226976715
2005	3	0.327406535
2005	4	0.362083342
2006	1	0.359544342
2006	2	0.192400074
2006	3	0.288167499
2006	4	0.414593864
2007	1	0.235017852
2007	2	0.257207
2007	3	0.268986896
2007	4	0.303191883
2008	1	0.253825029
2008	2	0.197155175
2008	3	0.179357569
2008	4	0.207624273
2009	1	0.213153058
2009	2	0.233757818
2009	3	0.245589245
2009	4	0.305926415
2010	1	0.328500727
2010	2	0.195476565
2010	3	0.23525082
2010	4	0.263645247
2011	1	0.371918987
2011	2	0.357281654
2011	3	0.224586259
2011	4	0.111184652
2012	1	0.071898423
2012	2	0.106490408
2012	3	0.096389248
2012	4	0.004647639
2013	1	-0.053702376
2013	2	-0.077200952
2013	3	-0.049713653
2013	4	-0.034028759
2014	1	-0.004865801
2014	2	-0.084193623
2014	3	-0.02067048
2014	4	0.047293967
2015	1	0.113239957
2015	2	0.15977475
2015	3	0.053360659
2015	4	0.110080115
