year	quarter	DD
2005	1	-0.109940788
2005	2	-0.255895647
2005	3	-0.337587783
2005	4	-0.077920205
2006	1	-0.263634962
2006	2	-0.0901201
2006	3	-0.112151614
2006	4	0.004480297
2007	1	0.002553851
2007	2	0.093074841
2007	3	0.11159804
2007	4	0.113351166
2008	1	0.07827654
2008	2	0.032589104
2008	3	0.004660925
2008	4	-0.039463641
2009	1	-0.00841061
2009	2	0.027687067
2009	3	-0.024924946
2009	4	-0.124664042
2010	1	-0.05811312
2010	2	-0.12496241
2010	3	-0.088248806
2010	4	-0.298863315
2011	1	-0.473969371
2011	2	-0.453626301
2011	3	-0.359134018
2011	4	-0.677716463
2012	1	-0.718231071
2012	2	-0.369361768
2012	3	-0.809707485
2012	4	-1.004337133
2013	1	-0.937970671
2013	2	-1.425292412
2013	3	-0.801808784
2013	4	-0.68824122
2014	1	-0.917325189
2014	2	-1.340534444
2014	3	-0.882532622
2014	4	-0.125408879
2015	1	-0.146239883
2015	2	-0.100027887
2015	3	-0.181034218
2015	4	-0.283729133
