year	quarter	DD
2005	1	0.26098401
2005	2	0.21746679
2005	3	0.17946141
2005	4	0.158244
2006	1	0.07227478
2006	2	0.10607036
2006	3	0.11221655
2006	4	0.14193998
2007	1	0.13294732
2007	2	0.15279028
2007	3	0.11839888
2007	4	0.13026243
2008	1	0.16007192
2008	2	0.09040467
2008	3	0.03026904
2008	4	0.02727891
2009	1	0.07237844
2009	2	0.15836384
2009	3	0.16907688
2009	4	0.18705342
2010	1	0.21812842
2010	2	0.20643289
2010	3	0.24321171
2010	4	0.28385435
2011	1	0.3506238
2011	2	0.19623961
2011	3	0.23987195
2011	4	0.24320799
2012	1	0.23637445
2012	2	0.27029682
2012	3	0.31737914
2012	4	0.36546528
2013	1	0.37270658
2013	2	0.28892275
2013	3	0.34490493
2013	4	0.27200923
2014	1	0.3418088
2014	2	0.34993114
2014	3	0.62436138
2014	4	0.23374794
2015	1	0.23120432
2015	2	0.20586198
2015	3	0.11886324
2015	4	0.17758553
