year	quarter	DD
2005	1	0.22611557
2005	2	0.12436287
2005	3	0.18103872
2005	4	0.18702062
2006	1	0.12124464
2006	2	0.10893351
2006	3	0.08333448
2006	4	0.16879438
2007	1	0.11370825
2007	2	0.13672886
2007	3	0.10954727
2007	4	0.15911457
2008	1	0.19931893
2008	2	0.13826815
2008	3	0.10643335
2008	4	0.1083546
2009	1	0.17561007
2009	2	0.26312513
2009	3	0.20945519
2009	4	0.18976117
2010	1	0.26886987
2010	2	0.18902175
2010	3	0.23012412
2010	4	0.22064083
2011	1	0.30377255
2011	2	0.27160495
2011	3	0.28087185
2011	4	0.25341591
2012	1	0.21647566
2012	2	0.19210401
2012	3	0.14674725
2012	4	0.17272376
2013	1	0.24732446
2013	2	0.28005446
2013	3	0.2298401
2013	4	0.29263252
2014	1	0.29125699
2014	2	0.30491567
2014	3	0.62189135
2014	4	0.13367686
2015	1	0.30474977
2015	2	0.20642172
2015	3	0.12889654
2015	4	0.17814503
