year	quarter	DD
2005	1	0.3282671
2005	2	0.3104471
2005	3	0.2803468
2005	4	0.3552648
2006	1	0.3269098
2006	2	0.2915866
2006	3	0.3319163
2006	4	0.4113548
2007	1	0.2748088
2007	2	0.2316988
2007	3	0.2378839
2007	4	0.280028
2008	1	0.2530991
2008	2	0.2096056
2008	3	0.2140549
2008	4	0.2210585
2009	1	0.2591287
2009	2	0.270259
2009	3	0.2450838
2009	4	0.2835056
2010	1	0.3306906
2010	2	0.3149985
2010	3	0.3947094
2010	4	0.3146281
2011	1	0.3974724
2011	2	0.3481173
2011	3	0.3842262
2011	4	0.364717
2012	1	0.2892869
2012	2	0.3251797
2012	3	0.3515107
2012	4	0.3957931
2013	1	0.4142095
2013	2	0.3676744
2013	3	0.2988715
2013	4	0.2275759
2014	1	0.2759642
2014	2	0.3134231
2014	3	0.3810219
2014	4	0.3875462
2015	1	0.3124715
2015	2	0.2281409
2015	3	0.140726
2015	4	0.2115968
