year	quarter	DD
2005	1	0.324884745
2005	2	0.280791565
2005	3	0.325024819
2005	4	0.352129672
2006	1	0.380427207
2006	2	0.2042535
2006	3	0.28983943
2006	4	0.364144151
2007	1	0.245211341
2007	2	0.149876972
2007	3	0.190177971
2007	4	0.239213994
2008	1	0.204899674
2008	2	0.123875142
2008	3	0.068331217
2008	4	0.066537517
2009	1	0.128117091
2009	2	0.124615929
2009	3	0.173327424
2009	4	-0.451186458
2010	1	-0.392123972
2010	2	-0.173162261
2010	3	-0.312969833
2010	4	-0.195494029
2011	1	-0.263494737
2011	2	-0.326311359
2011	3	-0.657919905
2011	4	-0.664112436
2012	1	-0.735038895
2012	2	-1.418665988
2012	3	-1.940021718
2012	4	-1.884740308
2013	1	-2.370117479
2013	2	-2.269836918
2013	3	-1.429126357
2013	4	-1.442733231
2014	1	-1.554512451
2014	2	-2.042341534
2014	3	-1.291468095
2014	4	-0.690707228
2015	1	-0.226695736
2015	2	-0.030946881
2015	3	-0.036245918
2015	4	-0.002505544
