year	quarter	DD
2005	1	0.2441394
2005	2	0.2102863
2005	3	0.1963903
2005	4	0.2074674
2006	1	0.2937261
2006	2	0.1605784
2006	3	0.1946924
2006	4	0.2685834
2007	1	0.2806939
2007	2	0.2104198
2007	3	0.201286
2007	4	0.231634
2008	1	0.2417362
2008	2	0.1477109
2008	3	0.1499311
2008	4	0.1563157
2009	1	0.1851995
2009	2	0.2199017
2009	3	0.2599792
2009	4	0.263637
2010	1	0.3199235
2010	2	0.3000455
2010	3	0.3228502
2010	4	0.3248219
2011	1	0.3631548
2011	2	0.3314458
2011	3	0.3653074
2011	4	0.3600787
2012	1	0.3282983
2012	2	0.3124551
2012	3	0.3663297
2012	4	0.3803309
2013	1	0.3086876
2013	2	0.267514
2013	3	0.2624909
2013	4	0.2935266
2014	1	0.3279187
2014	2	0.3689089
2014	3	0.4359045
2014	4	0.4094987
2015	1	0.3430083
2015	2	0.1380275
2015	3	0.3240683
2015	4	0.3216964
