year	quarter	DD
2005	1	0.23949679
2005	2	0.20619417
2005	3	0.08252946
2005	4	0.30767706
2006	1	0.25260314
2006	2	0.1748323
2006	3	0.23640556
2006	4	0.26318775
2007	1	0.17310117
2007	2	0.18160395
2007	3	0.18189042
2007	4	0.19933913
2008	1	0.19359394
2008	2	0.09321969
2008	3	0.05904026
2008	4	-0.01958821
2009	1	0.08304604
2009	2	0.16058369
2009	3	0.20667627
2009	4	0.23486112
2010	1	0.27115841
2010	2	0.19280083
2010	3	0.22053581
2010	4	0.26225455
2011	1	0.35585706
2011	2	0.30156798
2011	3	0.28679699
2011	4	0.1796573
2012	1	0.21592926
2012	2	0.25873955
2012	3	0.22722696
2012	4	0.17204831
2013	1	0.16594005
2013	2	0.1425174
2013	3	0.12614416
2013	4	0.16518793
2014	1	0.23051095
2014	2	0.09670524
2014	3	0.23619266
2014	4	0.25072738
2015	1	0.22494023
2015	2	0.22644816
2015	3	0.12052796
2015	4	0.20303561
