Date,Open,High,Low,Close,Volume,Adj Close
2012-03-19,637.81,643.03,637.35,641.11,3932570000,641.11
2012-03-16,637.31,638.87,636.57,637.85,5163950000,637.85
2012-03-15,634.62,637.32,633.44,637.31,4271650000,637.31
2012-03-14,633.85,635.85,631.76,633.86,4502280000,633.86
2012-03-13,622.32,633.98,622.32,633.89,4386470000,633.89
2012-03-12,621.24,622.78,619.98,622.22,3081870000,622.22
2012-03-09,619.95,623.51,619.95,621.30,3639470000,621.30
2012-03-08,614.80,621.39,614.80,619.95,3543060000,619.95
2012-03-07,610.57,615.50,610.57,614.43,3580380000,614.43
2012-03-06,619.51,619.51,608.89,610.56,4191060000,610.56
2012-03-05,621.72,621.72,616.91,619.51,3429480000,619.51
2012-03-02,623.15,623.34,620.29,621.72,3283490000,621.72
2012-03-01,619.53,624.20,619.53,623.16,3919240000,623.16
2012-02-29,621.93,625.10,618.38,619.45,4482370000,619.45
2012-02-28,618.86,622.34,618.33,621.92,3579120000,621.92
2012-02-27,617.17,620.88,612.91,618.86,3648890000,618.86
2012-02-24,616.69,618.76,616.53,617.67,3505360000,617.67
2012-02-23,614.52,617.06,611.77,616.69,3786450000,616.69
2012-02-22,616.70,616.70,613.67,614.53,3633710000,614.53
2012-02-21,615.35,618.74,614.66,616.75,3795200000,616.75
2012-02-17,612.69,615.76,612.69,615.06,3717640000,615.06
2012-02-16,606.20,613.72,605.41,613.24,4108880000,613.24
2012-02-15,610.82,612.87,605.73,606.73,4080340000,606.73
2012-02-14,611.52,611.52,606.30,610.82,3889520000,610.82
2012-02-13,607.21,612.28,607.21,611.54,3618040000,611.54
2012-02-10,610.85,610.85,604.58,607.12,3877580000,607.12
2012-02-09,610.37,612.39,608.38,611.10,4209890000,611.10
2012-02-08,608.93,610.45,606.59,610.38,4096730000,610.38
2012-02-07,607.71,609.95,604.13,608.93,3742460000,608.93
2012-02-06,606.62,607.87,603.99,607.83,3379700000,607.83
2012-02-03,598.93,607.14,598.93,606.89,4608550000,606.89
2012-02-02,598.13,600.25,596.74,598.54,4120920000,598.54
2012-02-01,593.83,601.15,593.83,598.02,4504360000,598.02
2012-01-31,594.59,597.83,591.31,593.83,4235550000,593.83
2012-01-30,595.21,595.21,588.61,594.51,3659010000,594.51
2012-01-27,596.56,596.97,593.44,595.37,4007380000,595.37
2012-01-26,599.63,602.80,594.47,596.62,4522070000,596.62
2012-01-25,594.28,600.63,592.06,599.60,4410910000,599.60
2012-01-24,595.88,595.88,591.37,594.44,3693560000,594.44
