Date,Open,High,Low,Close,Volume,Adj Close
2014-02-07,628.39,632.39,626.77,631.73,77400,631.73
2014-02-06,620.81,628.32,620.81,626.83,78500,626.83
2014-02-05,622.62,622.62,614.47,619.96,81400,619.96
2014-02-04,621.88,626.99,619.69,624.31,85200,624.31
2014-02-03,639.24,639.24,618.44,620.26,92100,620.26
2014-01-31,638.43,643.29,635.54,639.51,93500,639.51
2014-01-30,638.95,646.82,638.79,643.81,69400,643.81
2014-01-29,641.77,642.16,634.08,635.64,82200,635.64
2014-01-28,639.88,644.35,639.82,644.34,73400,644.34
2014-01-27,648.11,648.42,636.65,639.17,75800,639.17
2014-01-24,659.70,659.70,646.03,647.43,79700,647.43
2014-01-23,665.18,665.18,658.85,662.64,83400,662.64
2014-01-22,664.32,667.74,663.67,667.22,58800,667.22
2014-01-21,662.83,664.66,660.48,663.55,65900,663.55
2014-01-17,662.45,662.64,658.75,659.81,69500,659.81
2014-01-16,662.61,663.44,661.11,663.19,58400,663.19
2014-01-15,659.83,663.98,659.83,663.56,65100,663.56
2014-01-14,652.56,658.72,652.49,658.69,59500,658.69
2014-01-13,658.53,658.81,647.78,650.88,73100,650.88
2014-01-10,658.37,659.80,655.23,659.80,66400,659.80
2014-01-09,659.04,660.34,654.08,657.68,71500,657.68
2014-01-08,659.56,659.84,655.39,657.97,95600,657.97
2014-01-07,655.93,662.10,655.93,660.11,71700,660.11
2014-01-06,661.27,661.80,654.27,654.39,68400,654.39
2014-01-03,657.54,661.29,657.54,660.06,53900,660.06
2014-01-02,663.72,663.72,655.05,657.29,66000,657.29
2013-12-31,665.03,666.90,664.81,665.54,65400,665.54
2013-12-30,664.82,665.81,663.87,664.56,50300,664.56
2013-12-27,667.68,668.11,662.93,665.07,42300,665.07
2013-12-26,666.74,668.70,665.14,666.19,43600,666.19
2013-12-24,663.06,666.79,663.01,665.15,30000,665.15
2013-12-23,659.39,662.97,659.37,662.97,72500,662.97
2013-12-20,647.22,657.72,647.14,657.41,243200,657.41
2013-12-19,649.65,649.79,645.43,645.69,59800,645.69
2013-12-18,643.44,651.00,638.94,650.99,73000,650.99
2013-12-17,644.08,644.08,639.91,643.08,61200,643.08
2013-12-16,638.61,644.69,638.61,644.09,64200,644.09
2013-12-13,635.92,638.44,633.47,636.78,70700,636.78
2013-12-12,633.08,637.18,632.97,634.61,65000,634.61
2013-12-11,642.66,642.81,632.24,633.23,68100,633.23
2013-12-10,647.83,649.06,642.24,642.27,64100,642.27
2013-12-09,650.02,650.90,646.99,648.67,64500,648.67
2013-12-06,648.30,652.18,648.30,649.58,56600,649.58
2013-12-05,642.96,646.07,642.36,644.64,61100,644.64
2013-12-04,644.13,648.60,637.85,643.23,62300,643.23
2013-12-03,646.75,649.46,643.09,645.53,75900,645.53
2013-12-02,656.51,656.51,647.24,648.27,59200,648.27
2013-11-29,658.84,659.36,656.61,656.85,39800,656.85
2013-11-27,653.03,656.49,652.46,656.34,50800,656.34
2013-11-26,647.70,653.54,647.39,652.62,70500,652.62
2013-11-25,648.97,649.65,646.67,647.45,54300,647.45
2013-11-22,646.15,648.44,643.64,648.08,57600,648.08
2013-11-21,635.61,645.54,635.61,645.42,61800,645.42
2013-11-20,636.66,638.31,632.26,634.07,54100,634.07
2013-11-19,637.96,640.99,633.35,635.22,58600,635.22
2013-11-18,641.76,643.94,636.63,638.13,57800,638.13
2013-11-15,638.63,641.05,636.96,640.92,67800,640.92
2013-11-14,638.42,639.34,635.14,638.76,51700,638.76
2013-11-13,630.64,638.66,630.02,638.63,64900,638.63
2013-11-12,632.11,633.47,630.15,633.45,61800,633.45
2013-11-11,632.94,634.04,631.26,633.18,79200,633.18
2013-11-08,621.68,633.48,621.68,632.84,81500,632.84
2013-11-07,633.64,634.91,621.68,621.89,90300,621.89
2013-11-06,635.73,637.06,631.30,632.48,64100,632.48
2013-11-05,632.98,634.15,629.18,632.88,79500,632.88
2013-11-04,628.03,634.87,627.86,634.69,88700,634.69
2013-11-01,628.48,630.00,622.09,626.68,98200,626.68
2013-10-31,631.91,633.88,628.30,629.27,99100,629.27
2013-10-30,640.34,640.34,631.47,632.33,77300,632.33
2013-10-29,637.71,639.86,635.64,639.70,68400,639.70
2013-10-28,636.33,637.07,634.26,636.95,65200,636.95
2013-10-25,638.31,638.31,634.07,636.48,67300,636.48
2013-10-24,632.75,636.90,631.77,636.28,65000,636.28
2013-10-23,631.46,632.52,628.90,632.08,68000,632.08
2013-10-22,633.52,636.83,632.54,633.88,69400,633.88
2013-10-21,633.26,633.87,631.05,631.93,59200,631.93
2013-10-18,628.35,633.02,627.48,632.74,86400,632.74
2013-10-17,618.10,625.14,617.09,625.13,92200,625.13
2013-10-16,615.52,619.77,615.52,619.44,65500,619.44
2013-10-15,618.15,618.15,612.01,613.29,70700,613.29
2013-10-14,612.79,618.99,611.40,618.95,64700,618.95
2013-10-11,605.10,615.48,604.75,615.48,64000,615.48
2013-10-10,596.89,607.06,596.89,606.77,63800,606.77
2013-10-09,594.52,596.06,590.16,592.64,73900,592.64
2013-10-08,601.85,602.88,593.30,593.30,71000,593.30
2013-10-07,604.79,605.26,601.56,601.59,64900,601.59
2013-10-04,603.79,609.47,603.75,608.28,53400,608.28
2013-10-03,610.31,610.31,601.23,604.51,63800,604.51
2013-10-02,612.64,612.67,608.77,611.30,55900,611.30
2013-10-01,607.65,615.34,607.65,615.34,77900,615.34
2013-09-30,602.67,607.87,600.19,607.76,90400,607.76
2013-09-27,606.29,607.72,605.05,606.61,54000,606.61
2013-09-26,606.56,610.21,605.58,609.15,59700,609.15
2013-09-25,607.29,610.33,604.94,605.87,53800,605.87
2013-09-24,605.30,611.05,602.60,606.95,60000,606.95
2013-09-23,604.90,605.97,600.72,605.01,61400,605.01
2013-09-20,606.56,607.47,604.57,605.28,182800,605.28
2013-09-19,608.14,608.72,604.81,605.96,58500,605.96
2013-09-18,601.01,609.36,596.84,607.24,63000,607.24
2013-09-17,596.42,601.24,596.29,601.24,50000,601.24
2013-09-16,599.36,601.57,596.46,596.77,58600,596.77
2013-09-13,593.72,595.52,591.47,595.37,47200,595.37
2013-09-12,595.89,595.89,591.98,591.99,52600,591.99
2013-09-11,594.93,597.37,593.91,596.09,56600,596.09
2013-09-10,592.00,595.82,591.80,595.73,56300,595.73
2013-09-09,582.57,590.32,582.57,590.24,50500,590.24
2013-09-06,583.43,584.35,573.56,581.37,54900,581.37
2013-09-05,580.19,582.59,579.63,581.18,48600,581.18
2013-09-04,575.18,579.69,574.62,579.59,65900,579.59
2013-09-03,577.22,581.80,571.38,575.12,57100,575.12
2013-08-30,580.97,580.97,572.04,572.82,70700,572.82
2013-08-29,575.93,583.01,575.61,581.52,45300,581.52
2013-08-28,574.91,578.32,574.62,576.36,49700,576.36
2013-08-27,583.75,583.75,574.72,574.93,57600,574.93
2013-08-26,589.05,591.41,586.73,588.11,41900,588.11
2013-08-23,587.84,588.87,585.80,588.53,49100,588.53
2013-08-22,581.26,587.69,581.26,587.57,90600,587.57
2013-08-21,582.13,584.54,578.12,579.71,49100,579.71
2013-08-20,575.70,584.31,575.70,583.58,48300,583.58
2013-08-19,579.78,580.54,575.08,575.10,49700,575.10
2013-08-16,579.93,583.65,579.70,580.24,63300,580.24
2013-08-15,588.19,588.19,581.47,582.22,62900,582.22
2013-08-14,594.84,595.26,592.63,592.69,63000,592.69
2013-08-13,595.67,595.74,591.56,594.97,53100,594.97
2013-08-12,589.70,595.13,588.91,595.13,47700,595.13
2013-08-09,591.13,593.55,589.11,592.07,54900,592.07
2013-08-08,591.36,593.23,589.43,592.22,57600,592.22
2013-08-07,591.58,591.67,588.18,588.91,58100,588.91
2013-08-06,597.66,597.66,591.90,592.84,59100,592.84
2013-08-05,595.09,598.58,594.74,598.58,53900,598.58
2013-08-02,593.57,595.79,592.41,595.68,57200,595.68
2013-08-01,590.76,596.40,590.76,595.83,66000,595.83
2013-07-31,588.60,592.55,587.76,587.76,84100,587.76
2013-07-30,586.95,587.92,584.36,586.52,64400,586.52
2013-07-29,588.00,588.75,583.71,584.89,44100,584.89
2013-07-26,588.01,588.68,584.93,588.67,52400,588.67
2013-07-25,585.78,591.87,585.08,591.87,000,591.87
2013-07-24,593.01,593.77,586.24,586.80,55800,586.80
2013-07-23,593.49,593.55,590.34,591.19,57000,591.19
2013-07-22,589.76,592.56,589.68,591.87,000,591.87
2013-07-19,589.46,590.36,588.42,590.25,65400,590.25
2013-07-18,586.69,591.61,586.69,590.35,53000,590.35
2013-07-17,585.76,587.88,584.83,585.72,52200,585.72
2013-07-16,586.62,586.76,582.93,584.15,57400,584.15
2013-07-15,584.39,586.82,583.79,586.41,49600,586.41
2013-07-12,582.02,584.86,581.76,583.89,44400,583.89
2013-07-11,581.11,583.13,580.37,582.68,55000,582.68
2013-07-10,575.95,577.40,574.36,576.95,51400,576.95
2013-07-09,571.93,576.43,571.43,576.17,71000,576.17
2013-07-08,569.26,571.53,569.26,570.12,60800,570.12
2013-07-05,565.16,568.15,560.84,568.15,51800,568.15
2013-07-03,557.23,561.20,556.33,559.93,31400,559.93
2013-07-02,558.05,562.01,555.54,559.16,000,559.16
2013-07-01,552.48,560.25,552.48,558.48,000,558.48
2013-06-28,551.21,553.60,549.47,550.52,159200,550.52
2013-06-27,545.55,552.84,545.55,552.40,000,552.40
2013-06-26,544.98,545.99,541.52,542.75,000,542.75
2013-06-25,539.63,542.80,537.99,541.94,67400,541.94
2013-06-24,539.86,540.36,532.51,536.32,75800,536.32
2013-06-21,542.11,543.89,536.51,543.27,185200,543.27
2013-06-20,550.19,550.19,539.52,541.11,71000,541.11
2013-06-19,561.25,561.37,554.67,554.69,000,554.69
2013-06-18,555.56,562.58,555.56,561.72,50200,561.72
2013-06-17,554.30,556.53,552.04,554.88,51000,554.88
2013-06-14,555.79,556.04,549.93,550.98,000,550.98
2013-06-13,546.60,556.80,545.39,556.08,52000,556.08
2013-06-12,554.07,554.85,546.17,546.71,53400,546.71
2013-06-11,553.89,555.23,549.29,551.26,51400,551.26
2013-06-10,555.25,557.34,552.67,557.27,000,557.27
2013-06-07,552.45,555.04,550.49,554.11,51600,554.11
2013-06-06,544.29,549.88,542.04,549.88,59800,549.88
2013-06-05,550.68,551.22,544.39,544.56,56000,544.56
2013-06-04,556.57,558.70,548.02,551.64,72800,551.64
2013-06-03,552.97,556.90,548.77,556.47,96600,556.47
2013-05-31,554.63,557.31,551.89,552.06,76200,552.06
2013-05-30,554.82,558.08,554.68,557.35,000,557.35
2013-05-29,557.82,557.82,551.20,553.94,49800,553.94
2013-05-28,556.72,564.95,556.72,560.54,68600,560.54
2013-05-24,550.95,553.26,547.11,553.18,45400,553.18
2013-05-23,550.41,553.41,547.97,553.17,66400,553.17
2013-05-22,562.65,566.98,550.99,553.62,000,553.62
2013-05-21,561.72,563.53,560.69,562.52,58800,562.52
2013-05-20,559.45,563.48,559.39,561.76,000,561.76
2013-05-17,555.27,560.60,555.27,560.60,78800,560.60
