CPI,EX.Vol,GDP,IP,IR,TS
2.187,0.017276227,0.0973333,-1.94,3.45,2.551
2.003,0.017081974,0.01,0.776,3.4,2.243
2.608,0.017000285,0.01,-3.535,3.26,2.238
2.613,0.016910833,0.01,-1.81,3.15,2.384
2.627,0.017599874,-0.0526667,-3.004,3.12,2.242
2.117,0.017207692,-0.0526667,-3.7,3.05,2.118
2.041,0.016989354,-0.0526667,0.395,3.1,1.925
1.465,0.01729659,-0.2233333,-2.346,3.06,2.095
1.543,0.017001564,-0.2233333,-4.331,3.16,2.237
1.274,0.016753082,-0.2233333,-2.564,3.16,2.054
1.408,0.017264339,0.0003333,0.49,3.09,1.841
1.243,0.017102708,0.0003333,1.772,3.02,1.859
1.626,0.0168456,0.0003333,3.066,2.94,2.26
1.635,0.016894975,0.176,1.732,3,2.329
1.092,0.016772491,0.176,-1.543,2.99,2.434
1.019,0.016940624,0.176,-0.194,3.04,2.527
0.671,0.016690396,0.3156667,4.296,3.08,2.344
0.864,0.016902252,0.3156667,7.078,3.14,2.187
1.158,0.016838778,0.3156667,3.638,3.11,2.176
1.138,0.016943196,0.5256667,3.003,3.19,2.108
0.861,0.016783915,0.5256667,6.137,3.17,2.062
1.035,0.016613127,0.5256667,-0.097,3.1,1.965
0.588,0.016524263,0.4473333,2.537,3.07,1.82
0.7,0.016365414,0.4473333,0.967,3.02,1.665
0.547,0.016248015,0.4473333,2.399,2.9,1.589
0.496,0.016192974,0.413,-2.838,2.81,1.405
0.384,0.016103352,0.413,0.196,2.7,1.208
0.222,0.016218494,0.413,3.11,2.52,1.203
0.303,0.016699689,0.417,-0.287,2.32,1.107
0.05,0.016581292,0.417,-0.85,2.32,0.989
-0.381,0.016543443,0.417,-1.992,2.21,0.829
-0.623,0.016423884,0.454,1.944,2.44,0.897
-0.372,0.019234138,0.454,-3.886,2.47,0.632
-0.161,0.018575927,0.454,2.537,2.39,0.473
0.463,0.019895749,0.5276666,-0.381,2.41,0.425
0.826,0.019086147,0.5276666,0.096,2.35,0.88
0.836,0.019451437,0.5276666,-4.217,2.35,1.254
0.815,0.018694238,0.4166667,0.487,2.4,1.159
0.734,0.018432507,0.4166667,1.369,2.42,1.038
0.926,0.018218718,0.4166667,-1.225,2.38,1.047
1.137,0.01770499,0.4743333,1.441,2.37,0.914
1.4,0.017290881,0.4743333,2.381,2.28,0.958
1.471,0.019174535,0.4743333,-0.194,2.2,1.036
1.851,0.019149113,0.429,4.671,2.18,1.056
1.139,0.018519176,0.429,6.509,2.12,0.904
1.589,0.018537755,0.429,2.474,2.05,0.859
1.604,0.017987362,0.5213333,3.534,2.08,0.819
1.579,0.018075781,0.5213333,1.435,2.04,0.807
1.768,0.017660193,0.5213333,5.186,2.01,0.688
1.987,0.01727753,0.5386667,6.783,2.04,0.495
1.987,0.017134665,0.5386667,5.593,1.95,0.448
1.804,0.017145776,0.5386667,2.099,2.08,0.482
1.94,0.016868782,0.4653333,2.273,2.05,0.589
1.758,0.016895114,0.4653333,1.488,2,0.893
2.225,0.016970047,0.4653333,10.087,2.09,0.936
3.058,0.017170974,0.603,-1.275,2.06,1.066
3.318,0.017047247,0.603,3.704,2.03,1.199
2.693,0.01677171,0.603,2.414,2.13,1.219
2.457,0.016576329,0.5113333,1.661,2.06,1.11
1.928,0.016409544,0.5113333,4.34,2.05,1.099
1.511,0.017338415,0.5113333,4.744,2.06,0.96
