CPI,EX.Vol,GDP,IP,IR,TS
2.8,0.099254299,-0.0136667,-0.613,8.7,-0.392
2.4,0.098027755,-0.0136667,-9.589,8.4,-0.3
1.7,0.099854328,0.0266667,0.385,8.2,0.037
1.3,0.0978558,0.0266667,-2.124,8.1,0.344
1,0.096021938,0.0266667,-2.892,7.8,0.635
0.8,0.0958666,0.4426666,2.846,7.6,0.217
0.5,0.094968784,0.4426666,-1.825,7.4,0.976
0.2,0.093815747,0.4426666,2.793,7.1,1.737
1.1,0.092476714,0.5793334,6.357,6.7,1.489
1.1,0.09123571,0.5793334,2.195,6.6,1.855
1,0.092692524,0.5793334,6.335,6.6,1.925
0.8,0.091510325,0.743,4.614,6.6,1.597
0.6,0.093894601,0.743,2.996,6.6,1.991
0.7,0.093195544,0.743,6.667,6.5,1.743
0.5,0.093352448,1.033,4.215,6.5,2.149
0.7,0.09220984,1.033,5.325,6.5,1.775
0.7,0.091125682,1.033,5.505,6.4,1.617
0.3,0.090205662,1.047667,5.443,6.4,1.416
0.2,0.089269806,1.047667,4.461,6.4,1.055
0.3,0.088407623,1.047667,1.812,6.5,0.93
-0.2,0.087678019,1.068,2.409,6.4,0.851
-0.3,0.087024849,1.068,-1.867,6.4,0.632
-0.3,0.087879208,1.068,4.17,6.4,0.868
-0.6,0.088319194,1.185,1.684,5.9,0.684
-0.6,0.088053587,1.185,0.342,5.6,0.439
-1,0.087759073,1.185,8.144,5.6,0.985
-1.4,0.087193271,1.290667,1.563,5.5,0.096
-1.6,0.102277225,1.290667,4.963,5.5,0.455
-1.5,0.101542327,1.290667,8.811,5.1,0.775
-1.1,0.10499916,1.136667,2.45,4.9,1.097
-0.9,0.106065071,1.136667,2.758,4.8,1.365
-0.8,0.103621121,1.136667,7.384,4.8,1.709
-0.7,0.101983524,1.259667,3.833,4.8,1.329
-0.6,0.100081498,1.259667,5.328,4.7,1.358
-0.8,0.098085292,1.259667,4.003,4.8,1.222
-0.7,0.096213669,1.394,2.366,4.7,1.048
-0.6,0.094729895,1.394,7.758,4.7,1.061
-0.5,0.099919624,1.394,6.655,4.7,1.329
-0.9,0.098705508,0.915,1.357,4.7,1.561
-0.8,0.100717019,0.915,6.78,4.7,1.372
-0.9,0.102388114,0.915,0.708,4.7,1.273
-1.1,0.100737258,1.074333,5.892,4.7,1.518
-0.9,0.099157907,1.074333,3.203,4.7,1.529
-0.8,0.100089475,1.074333,5.965,4.7,1.297
-0.9,0.098038476,0.7746666,-3.44,4.8,1.27
-0.8,0.097185168,0.7746666,7.498,4.8,1.162
-0.5,0.100859195,0.7746666,3.221,4.8,1.312
-0.2,0.099519496,1.076667,-1.31,4.8,1.475
0,0.09772123,1.076667,3.165,4.8,2.016
0.8,0.101435864,1.076667,2.217,4.7,2.001
1.7,0.101041809,1.466333,9.107,4.8,2.258
2.2,0.101619727,1.466333,1.086,4.9,2.19
2,0.099525558,1.466333,11.007,4.8,1.881
2,0.097612979,1.422333,-0.565,4.8,1.804
1.9,0.096367475,1.422333,9.144,4.8,1.605
1.5,0.099202066,1.422333,4.457,4.8,1.696
