CPI,EX.Vol,GDP,IP,IR,TS
1.883,0.017081974,0.2206667,-1.104,2.96,0.743
2.194,0.017000285,0.2206667,-0.463,2.86,1.008
2.086,0.016910833,0.2206667,0.188,2.84,1.244
1.975,0.017599874,0.0633333,-2.505,2.82,1.262
1.763,0.017207692,0.0633333,-2.796,2.8,1.148
1.971,0.016989354,0.0633333,-1.508,2.76,1.115
1.861,0.01729659,-0.1153333,-2.538,2.74,1.305
1.753,0.017001564,-0.1153333,-1.419,2.74,1.317
1.648,0.016753082,-0.1153333,-2.317,2.75,1.144
1.231,0.017264339,0.147,0.378,2.72,0.991
1.644,0.017102708,0.147,-2.228,2.63,1.089
1.852,0.0168456,0.147,0.469,2.56,1.32
1.951,0.016894975,0.2393333,-1.395,2.67,1.339
1.534,0.016772491,0.2393333,0.279,2.73,1.504
1.532,0.016940624,0.2393333,0.75,2.82,1.667
1.121,0.016690396,0.5286667,1.522,2.9,1.534
1.631,0.016902252,0.5286667,4.027,2.89,1.457
1.424,0.016838778,0.5286667,4.211,2.84,1.526
1.218,0.016943196,0.9026666,4.532,2.84,1.468
1.013,0.016783915,0.9026666,4.031,2.8,1.272
1.114,0.016613127,0.9026666,2.846,2.72,1.205
1.013,0.016524263,0.5443333,1.599,2.69,1.13
0.708,0.016365414,0.5443333,1.804,2.61,1.005
0.909,0.016248015,0.5443333,0.28,2.53,1.019
0.705,0.016192974,0.4813333,2.925,2.45,0.905
0.705,0.016103352,0.4813333,-2.134,2.37,0.758
0.805,0.016218494,0.4813333,0.466,2.28,0.823
0.806,0.016699689,0.6436667,1.406,2.19,0.707
0.401,0.016581292,0.6436667,-0.276,2.11,0.639
-0.1,0.016543443,0.6436667,0.918,2.09,0.509
-0.401,0.016423884,0.3846667,-0.185,2.02,0.327
0,0.019234138,0.3846667,-0.185,1.86,0.252
0.1,0.018575927,0.3846667,0.185,1.77,0.203
0.401,0.019895749,0.592,0.741,1.7,0.115
0.602,0.019086147,0.592,1.772,1.61,0.57
0.2,0.019451437,0.592,1.302,1.72,0.804
0.1,0.018694238,0.5933333,0.825,1.86,0.729
0.1,0.018432507,0.5933333,2.559,1.92,0.638
-0.1,0.018218718,0.5933333,0.371,1.92,0.687
0.2,0.01770499,0.4363333,0.185,1.94,0.574
0.2,0.017290881,0.4363333,-0.185,1.89,0.608
0.201,0.019174535,0.4363333,-1.001,1.83,0.676
0.403,0.019149113,0.612,2.218,1.84,0.576
-0.201,0.018519176,0.612,1.848,1.79,0.354
0,0.018537755,0.612,0.921,1.7,0.399
-0.2,0.017987362,0.6186666,1.011,1.67,0.379
0,0.018075781,0.6186666,-0.275,1.62,0.387
0.2,0.017660193,0.6186666,1.194,1.6,0.248
0.4,0.01727753,0.6226667,-1.273,1.59,0.145
0.3,0.017134665,0.6226667,2.495,1.49,0.168
0.5,0.017145776,0.6226667,1.754,1.48,0.212
0.699,0.016868782,0.6203333,1.661,1.45,0.309
0.698,0.016895114,0.6203333,2.593,1.43,0.503
1.603,0.016970047,0.6203333,0,1.49,0.566
1.906,0.017170974,0.7073333,-0.452,1.59,0.576
2.211,0.017047247,0.7073333,1.452,1.64,0.589
1.702,0.01677171,0.7073333,2.19,1.67,0.679
1.802,0.016576329,0.7646666,2.73,1.71,0.55
1.497,0.016409544,0.7646666,4.871,1.66,0.669
1.496,0.017338415,0.7646666,2.632,1.68,0.58
