CPI,EX.Vol,GDP,IP,IR,TS
1.838,0.017276227,-0.9306667,-6.615,4.17,5.931
2.249,0.017081974,-1.038667,-7.481,4.09,6.303
2.714,0.017000285,-1.038667,-5.325,4.03,6.248
3.354,0.016910833,-1.038667,-7.573,4.07,5.674
3.367,0.017599874,-1.163667,-4.96,3.99,5.442
2.971,0.017207692,-1.163667,-6.784,3.95,5.498
3.02,0.016989354,-1.163667,-8.057,3.92,5.155
2.903,0.01729659,-0.9926667,-5.184,3.97,4.845
2.938,0.017001564,-0.9926667,-4.782,3.97,4.997
2.553,0.016753082,-0.9926667,-2.182,3.96,4.714
1.719,0.017264339,-0.7083333,-3.136,3.9,4.381
1.832,0.017102708,-0.7083333,-3.188,4.03,4.049
2.108,0.0168456,-0.7083333,-1.722,3.92,4.46
1.846,0.016894975,-0.4906667,-1.172,3.86,4.439
1.577,0.016772491,-0.4906667,-2.425,3.84,4.284
0.468,0.016940624,-0.4906667,0.906,3.84,4.197
0.04,0.016690396,-0.0703333,-0.982,3.78,3.994
0.239,0.016902252,-0.0703333,2.795,3.75,3.887
0.318,0.016838778,-0.0703333,2.65,3.76,3.866
0.348,0.016943196,0.1763333,1.354,3.75,3.498
0.109,0.016783915,0.1763333,2.859,3.63,3.272
0.01,0.016613127,0.1763333,0.438,3.59,3.005
0.308,0.016524263,0.332,3.771,3.67,2.77
0.149,0.016365414,0.332,2.299,3.6,2.605
-0.089,0.016248015,0.332,0.464,3.58,2.469
-0.446,0.016192974,0.5863333,0.651,3.51,2.465
-0.554,0.016103352,0.5863333,0.294,3.44,2.228
-0.208,0.016218494,0.5863333,0.961,3.34,2.103
-0.208,0.016699689,0.7433333,1.59,3.34,2.027
-0.466,0.016581292,0.7433333,-0.021,3.38,1.989
-1.139,0.016543443,0.7433333,0.232,3.14,1.709
-1.425,0.016423884,0.965,0.722,3.25,1.477
-1.168,0.019234138,0.965,1.287,3.16,1.462
-0.764,0.018575927,0.965,3.196,2.86,1.203
-0.654,0.019895749,1.125667,1.73,2.85,1.305
-0.318,0.019086147,1.125667,3.288,2.82,1.78
-0.139,0.019451437,1.125667,4.471,2.73,2.244
-0.129,0.018694238,1.215333,5.461,2.68,2.119
-0.507,0.018432507,1.215333,2.221,2.61,1.978
-0.973,0.018218718,1.215333,3.839,2.57,2.067
-0.826,0.01770499,1.271667,4.421,2.56,1.784
-0.399,0.017290881,1.271667,4.088,2.42,1.818
-0.21,0.019174535,1.271667,3.981,2.31,1.816
-0.432,0.019149113,1.166333,3.29,2.33,1.876
-1.062,0.018519176,1.166333,2.022,2.32,1.904
-0.999,0.018537755,1.166333,3.003,2.31,1.779
-1.127,0.017987362,1.146333,2.872,2.3,1.759
-1.085,0.018075781,1.146333,0.747,2.27,1.827
-0.886,0.017660193,1.146333,0.993,2.12,1.748
-0.667,0.01727753,1.068667,0.48,2.16,1.465
-0.27,0.017134665,1.068667,4.168,2.12,1.308
0.15,0.017145776,1.068667,0.738,2.11,1.342
0.542,0.016868782,0.9893333,0.458,2.12,1.379
0.521,0.016895114,0.9893333,2.78,2.09,1.733
1.335,0.016970047,0.9893333,1.996,1.98,1.756
2.885,0.017170974,1.005,2.619,2.09,1.796
2.916,0.017047247,1.005,2.561,2.12,2.029
2.261,0.01677171,1.005,0.648,2.06,2.049
2.452,0.016576329,1.03,0.553,2.1,1.95
2.013,0.016409544,1.03,3.321,2.06,1.899
1.677,0.017338415,1.03,2.677,2.01,1.78
