CPI,EX.Vol,GDP,IP,IR,TS
2.28,0.017276227,0.1,-1.768,3.5,1.91
2.238,0.017081974,0.0673333,-2.168,3.4,1.778
2.346,0.017000285,0.0673333,0.118,3.34,1.787
2.154,0.016910833,0.0673333,-1.584,3.34,1.991
2.055,0.017599874,0.003,-2.635,3.23,1.978
1.584,0.017207692,0.003,-4.356,3.15,1.948
1.509,0.016989354,0.003,-2.446,3.05,1.825
1.393,0.01729659,-0.0186667,-2.159,2.93,1.96
1.248,0.017001564,-0.0186667,-1.45,2.97,2.022
1.05,0.016753082,-0.0186667,-1.767,2.92,1.865
0.876,0.017264339,0.251,0.03,2.87,1.594
0.897,0.017102708,0.251,1.027,2.83,1.672
1.018,0.0168456,0.251,0,2.8,2.001
1.171,0.016894975,0.2026667,-0.387,2.76,2.026
0.923,0.016772491,0.2026667,-2.93,2.75,2.136
0.994,0.016940624,0.2026667,-0.4,2.75,2.263
0.658,0.016690396,0.377,0.475,2.8,2.168
0.81,0.016902252,0.377,1.666,2.84,2.042
0.829,0.016838778,0.377,0.11,2.84,2.057
0.818,0.016943196,0.3976667,-0.534,2.87,2.092
1.121,0.016783915,0.3976667,-0.24,2.84,1.965
0.838,0.016613127,0.3976667,-0.502,2.86,1.847
0.838,0.016524263,0.2306667,-1.989,2.79,1.696
0.808,0.016365414,0.2306667,-3.642,2.75,1.513
0.564,0.016248015,0.2306667,-0.83,2.64,1.471
0.533,0.016192974,0.4173333,-0.01,2.56,1.354
0.503,0.016103352,0.4173333,-0.666,2.51,1.214
0.341,0.016218494,0.4173333,0.522,2.46,1.254
0.503,0.016699689,0.2826667,-0.935,2.38,1.177
0.392,0.016581292,0.2826667,-2.881,2.33,1.055
0.1,0.016543443,0.2826667,1.212,2.24,0.84
-0.341,0.016423884,0.3866667,1.226,2.14,0.611
-0.23,0.019234138,0.3866667,0.692,2.15,0.549
0.01,0.018575927,0.3866667,1.656,2.03,0.482
0.15,0.019895749,0.3133333,0.382,1.92,0.435
0.321,0.019086147,0.3133333,2.858,1.86,0.899
0.291,0.019451437,0.3133333,2.278,1.8,1.21
0.18,0.018694238,0.2613333,-0.439,1.78,1.133
0.07,0.018432507,0.2613333,3.628,1.79,1.033
0.08,0.018218718,0.2613333,1.917,1.8,1.042
0.14,0.01770499,0.3423333,4.047,1.87,0.919
0.11,0.017290881,0.3423333,3.314,2.04,0.998
0.281,0.019174535,0.3423333,0.01,1.97,1.057
0.352,0.019149113,0.4063333,2.132,1.97,0.989
-0.08,0.018519176,0.4063333,0.708,1.93,0.784
-0.09,0.018537755,0.4063333,-0.427,1.87,0.738
-0.04,0.017987362,0.391,2.071,1.8,0.769
0.07,0.018075781,0.391,0.518,1.7,0.767
0.27,0.017660193,0.391,-1.055,1.58,0.658
0.36,0.01727753,0.3026667,-0.22,1.5,0.466
0.37,0.017134665,0.3026667,0.206,1.46,0.448
0.5,0.017145776,0.3026667,-1.283,1.41,0.486
0.459,0.016868782,0.391,-2.067,1.34,0.64
0.68,0.016895114,0.391,2.277,1.31,0.973
0.809,0.016970047,0.391,0.871,1.29,1.066
1.583,0.017170974,0.3873333,-0.01,1.28,1.189
1.453,0.017047247,0.3873333,-0.722,1.31,1.359
1.462,0.01677171,0.3873333,2.394,1.28,1.359
1.35,0.016576329,0.616,-0.069,1.3,1.26
0.908,0.016409544,0.616,2.863,1.29,1.149
0.757,0.017338415,0.616,2.271,1.29,0.99
